OMRÃ…DE,INDHOLD
Koebenhavn,4042
Frederiksberg,648
Dragoer,142
Taernby,471
Albertslund,435
Ballerup,541
Broendby,446
Gentofte,774
Gladsaxe,766
Glostrup,241
Herlev,334
Hvidovre,606
Hoeje-Taastrup,559
Ishoej,322
Lyngby-Taarbaek,590
Roedovre,430
Vallensbaek,139
Alleroed,320
Egedal,453
Fredensborg,521
Frederikssund,506
Furesoe,532
Gribskov,480
Halsnaes,337
Helsingoer,690
Hilleroed,539
Hoersholm,312
Rudersdal,680
Bornholm,547
Christiansoe,0
Greve,606
Koege,684
Lejre,289
Roskilde,991
Solroed,217
Faxe,432
Guldborgsund,774
Holbaek,896
Kalundborg,604
Lolland,599
Naestved,966
Odsherred,385
Ringsted,389
Slagelse,947
Soroe,336
Stevns,258
Vordingborg,564
Assens,493
Faaborg-Midtfyn,703
Kerteminde,275
Langeland,134
Middelfart,477
Nordfyns,319
Nyborg,348
Odense,2140
Svendborg,841
Aeroe,84
Billund,351
Esbjerg,1510
Fanoe,40
Fredericia,624
Haderslev,753
Kolding,1182
Soenderborg,991
Toender,600
Varde,675
Vejen,550
Vejle,1271
Aabenraa,789
Favrskov,518
Hedensted,548
Horsens,928
Norddjurs,553
Odder,293
Randers,1120
Samsoe,32
Silkeborg,1161
Skanderborg,646
Syddjurs,460
Aarhus,3374
Herning,1108
Holstebro,824
Ikast-Brande,522
Lemvig,325
Ringkoebing-Skjern,815
Skive,656
Struer,307
Viborg,1193
Broenderslev,414
Frederikshavn,828
Hjoerring,932
Jammerbugt,494
Laesoe,8
Mariagerfjord,644
Morsoe,329
Rebild,374
Thisted,636
Vesthimmerlands,527
Aalborg,2280
